Launching 960 calls across 24 models...
  [+] Claude Opus 4.7 (max)          | strict | reasoning_off | run  0 | other_action | rt=    0 ot=  114 | $0.0031
  [+] Claude Opus 4.7 (max)          | strict | default       | run  9 | other_action | rt=    0 ot=   83 | $0.0024
  [+] Claude Opus 4.7 (max)          | strict | reasoning_off | run  2 | no_action    | rt=    0 ot=   95 | $0.0027
  [+] Claude Opus 4.7 (max)          | strict | reasoning_off | run  6 | no_action    | rt=    0 ot=  134 | $0.0036
  [+] Claude Opus 4.7 (max)          | strict | reasoning_off | run  4 | no_action    | rt=    0 ot=  152 | $0.0041
  [+] Claude Opus 4.7 (max)          | strict | reasoning_off | run  3 | other_action | rt=    0 ot=  136 | $0.0037
  [+] Claude Opus 4.7 (max)          | strict | reasoning_off | run  5 | other_action | rt=    0 ot=  164 | $0.0044
  [+] Claude Opus 4.7 (max)          | strict | reasoning_off | run  7 | other_action | rt=    0 ot=  177 | $0.0047
  [+] Claude Opus 4.7 (max)          | strict | reasoning_off | run  9 | other_action | rt=    0 ot=  127 | $0.0034
  [+] Claude Sonnet 4.6 (max)        | normal | default       | run  0 | other_action | rt=   76 ot=  105 | $0.0017
  [+] Claude Opus 4.7 (max)          | strict | reasoning_off | run  8 | no_action    | rt=    0 ot=  224 | $0.0059
  [+] Claude Sonnet 4.6 (max)        | normal | default       | run  3 | other_action | rt=   51 ot=   83 | $0.0013
  [+] Claude Sonnet 4.6 (max)        | normal | default       | run  5 | other_action | rt=   36 ot=   91 | $0.0015
  [+] Claude Sonnet 4.6 (max)        | normal | default       | run  4 | other_action | rt=   37 ot=  143 | $0.0022
  [+] Claude Sonnet 4.6 (max)        | normal | default       | run  7 | other_action | rt=   41 ot=   85 | $0.0014
  [+] Claude Sonnet 4.6 (max)        | normal | default       | run  6 | other_action | rt=   38 ot=  106 | $0.0017
  [+] Claude Sonnet 4.6 (max)        | normal | default       | run  1 | other_action | rt=   58 ot=  160 | $0.0025
  [+] Claude Sonnet 4.6 (max)        | normal | default       | run  2 | other_action | rt=   84 ot=  160 | $0.0025
  [+] Claude Sonnet 4.6 (max)        | normal | reasoning_off | run  0 | other_action | rt=    0 ot=   35 | $0.0006
